instrumenttype	position	symbol	pitch	octave	stroke	duration	rest_after	modifier	midinote	rootnote	sample	note_value
UGAL	UGAL	i<?=	DING	2	MUTED	0.25	0.0	NONE	[30]	GK UGAL ROOT		0.25
UGAL	UGAL	i<?_	DING	2	MUTED	0.5	0.0	NONE	[30]	GK UGAL ROOT		0.5
TROMPONG	TROMPONG	i<?=	DING	2	MUTED	0.25	0.0	NONE	[69]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	i<?_	DING	2	MUTED	0.5	0.0	NONE	[69]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	i<?=	DING	2	MUTED	0.25	0.0	NONE	[38]	GK GENDER ROOT		0.25
GENDERRAMBAT	GENDERRAMBAT	i<?_	DING	2	MUTED	0.5	0.0	NONE	[38]	GK GENDER ROOT		0.5
REYONG	REYONG_3	i<?=	DING	2	MUTED	0.25	0.0	NONE	[33]	GK REYONG ROOT		0.25
REYONG	REYONG_3	i<?_	DING	2	MUTED	0.5	0.0	NONE	[33]	GK REYONG ROOT		0.5
REYONG	REYONG_4	i<?=	DING	2	MUTED	0.25	0.0	NONE	[33]	GK REYONG ROOT		0.25
REYONG	REYONG_4	i<?_	DING	2	MUTED	0.5	0.0	NONE	[33]	GK REYONG ROOT		0.5
PEMADE	PEMADE_POLOS	i<=	DING	2	OPEN	0.25	0.0	NONE	[10]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_POLOS	i<_	DING	2	OPEN	0.5	0.0	NONE	[10]	GK PEMADE ROOT		0.5
PEMADE	PEMADE_SANGSIH	i<=	DING	2	OPEN	0.25	0.0	NONE	[10]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_SANGSIH	i<_	DING	2	OPEN	0.5	0.0	NONE	[10]	GK PEMADE ROOT		0.5
KANTILAN	KANTILAN_POLOS	i<=	DING	2	OPEN	0.25	0.0	NONE	[10]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_POLOS	i<_	DING	2	OPEN	0.5	0.0	NONE	[10]	GK KANTILAN ROOT		0.5
KANTILAN	KANTILAN_SANGSIH	i<=	DING	2	OPEN	0.25	0.0	NONE	[10]	GK KANTILAN ROOT		0.25
KANTILAN	KANTILAN_SANGSIH	i<_	DING	2	OPEN	0.5	0.0	NONE	[10]	GK KANTILAN ROOT		0.5
UGAL	UGAL	i<=	DING	2	OPEN	0.25	0.0	NONE	[10]	GK UGAL ROOT		0.25
UGAL	UGAL	i<_	DING	2	OPEN	0.5	0.0	NONE	[10]	GK UGAL ROOT		0.5
TROMPONG	TROMPONG	i<=	DING	2	OPEN	0.25	0.0	NONE	[47]	GK TROMPONG ROOT		0.25
TROMPONG	TROMPONG	i<_	DING	2	OPEN	0.5	0.0	NONE	[47]	GK TROMPONG ROOT		0.5
GENDERRAMBAT	GENDERRAMBAT	i<=	DING	2	OPEN	0.25	0.0	NONE	[10]	GK GENDER ROOT	GK GENDER DING3.wav	0.25
GENDERRAMBAT	GENDERRAMBAT	i<_	DING	2	OPEN	0.5	0.0	NONE	[10]	GK GENDER ROOT	GK GENDER DING3.wav	0.5
REYONG	REYONG_3	i<=	DING	2	OPEN	0.25	0.0	NONE	[9]	GK REYONG ROOT		0.25
REYONG	REYONG_3	i<_	DING	2	OPEN	0.5	0.0	NONE	[9]	GK REYONG ROOT		0.5
REYONG	REYONG_4	i<=	DING	2	OPEN	0.25	0.0	NONE	[9]	GK REYONG ROOT		0.25
REYONG	REYONG_4	i<_	DING	2	OPEN	0.5	0.0	NONE	[9]	GK REYONG ROOT		0.5
PEMADE	PEMADE_POLOS	o,/=	DONG	0	ABBREVIATED	0.25	0.0	NONE	[11]	GK PEMADE ROOT		0.25
PEMADE	PEMADE_POLOS	o,/_	DONG	0	ABBREVIATED	0.5	0.0	NONE	[11]	GK PEMADE ROOT		0.5
PEMADE	PEMADE_SANGSIH	o,/=	DONG	0	ABBREVIATED	0.25	0.0	NONE	[11]	GK PEMADE ROOT		0.25
